year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,27,Area,0,0.493725,0,0,0,0,0,0,0,0,0
1990,Annual,29,Area,1.91972,0.863031,0,0,0,0,0,0,0,0,0
1990,Annual,32,Area,0,0.272654,0,0,0,0,0,0,0,0,0
1990,Annual,33,Area,0,0,0,0,0,0,0,0,0,8.857119,0
1990,Annual,37,Area,0,5.885695,0,0,0,0,0,0,0,0,0
1990,Annual,52,Area,0,0.100033,0,0,0,0,0,0,0,0,0
1990,Annual,61,Area,0,14.964357,0,0,0,0,0,0,0,0,0
1990,Annual,66,Area,0,1.27291,0,0,0,0,0,0,0,0,0
1990,Annual,68,Area,0,0.257152,0,0,0,0,0,0,0,0,0
1990,Annual,69,Area,0,0.006089,0,0,0,0,0,0,0,0,0
1990,Annual,71,Area,0,0.028923,0,0,0,0,0,0,0,0,0
1990,Annual,72,Area,0,2.203961,0,0,0,0,0,0,0,0,0
1990,Annual,73,Area,0,0.004408,0,0,0,0,0,0,0,0,0
1990,Annual,75,Area,0,0.030446,0,0,0,0,0,0,0,0,0
1990,Annual,76,Area,0,2.571517,0,0,0,0,0,0,0,0,0
1990,Annual,77,Area,0,0.060891,0,0,0,0,0,0,0,0,0
1990,Annual,79,Area,0,0.64771,0,0,0,0,0,0,0,0,0
1990,Annual,81,Area,0,0.830915,0,0,0,0,0,0,0,0,0
1990,Annual,82,Area,0,0.005517,0,0,0,0,0,0,0,0,0
1990,Annual,83,Area,0,0.125764,0,0,0,0,0,0,0,0,0
1990,Annual,88,Area,0,0.926388,0,0,0,0,0,0,0,0,0
1990,Annual,89,Area,0,0.157887,0,0,0,0,0,0,0,0,0
1990,Annual,90,Area,0,0.044695,0,0,0,0,0,0,0,0,0
1990,Annual,91,Area,0,3.061724,0,0,0,0,0,0,0,0,0
1990,Annual,95,Area,0,0.032172,0,0,0,0,0,0,0,0,0
1990,Annual,96,Area,0,0.011893,0,0,0,0,0,0,0,0,0
1990,Annual,97,Area,0,0.519002,0,0,0,0,0,0,0,0,0
1990,Annual,118,Area,0,4.087219,0,0,0,0,0,0,0,0,0
1990,Annual,283,Area,0.740443,1.071693,9.158106,0.058456,3.897066,0,0,0,0,0,0
1990,Annual,284,Area,0.497338,0.719831,6.151286,0.039264,2.617568,0,0,0,0,0,0
1990,Annual,285,Area,0.05399,0.078144,0.667776,0.004262,0.28416,0,0,0,0,0,0
1990,Annual,286,Area,0.0086,0.023253,0.289862,0.017201,0.060521,0,0,0,0,0,0
1990,Annual,287,Area,0.009424,0.009424,0.06785,0.267632,0.018847,0,0,0,0,0,0
1990,Annual,288,Area,5.480898,7.387591,0.373571,0.06731,36.634949,0,0,0,0,0,0
1990,Annual,289,Area,12.484035,10.4596,0.877257,0.134963,85.228867,0,0,0,0,0,0
1990,Annual,315,Area,0.063979,0.085574,0.038139,0.001244,0.519372,0,0,0,0,0,0
1990,Annual,316,Area,0.090218,0.124601,0.024342,0.003043,0.628329,0,0,0,0,0,0
1990,Annual,317,Area,0.233965,0.272504,0.069754,0.009262,1.649784,0,0,0,0,0,0
1990,Annual,318,Area,0.023181,0.026935,0.006447,0.00086,0.163329,0,0,0,0,0,0
1990,Annual,319,Area,0.006508,0.008864,0.004168,0.00008,0.052896,0,0,0,0,0,0
1990,Annual,441,Area,0.002087,0.080525,0.028846,0.005524,0.175902,0,0,0,0,0,0
1990,Annual,442,Area,0.001083,0.041804,0.014976,0.002868,0.09132,0,0,0,0,0,0
1990,Annual,443,Area,0.001755,0.12,0.03,0.004647,0.7,0,0,0,0,0,0
1990,Annual,444,Area,0.002119,0.081762,0.02929,0.005609,0.178604,0,0,0,0,0,0
1990,Annual,446,Area,0.001141,0.044033,0.016244,0.003021,0.095691,0,0,0,0,0,0
1990,Annual,447,Area,0.001505,0.058087,0.020809,0.003985,0.126889,0,0,0,0,0,0
1990,Annual,448,Area,0.000664,0.025607,0.009447,0.001757,0.055649,0,0,0,0,0,0
1990,Annual,449,Area,0.001496,0.057736,0.021299,0.003961,0.125469,0,0,0,0,0,0
1990,Annual,450,Area,0.000195,0.01,0,0.000515,0.06,0,0,0,0,0,0
1990,Annual,451,Area,0.002349,0.090653,0.033442,0.006219,0.197005,0,0,0,0,0,0
1990,Annual,452,Area,0.000888,0.08,0.02,0.00235,0.54,0,0,0,0,0,0
1990,Annual,453,Area,0.000365,0.014074,0.005192,0.000965,0.030585,0,0,0,0,0,0
1990,Annual,455,Area,0.001305,0.050347,0.018573,0.003454,0.109413,0,0,0,0,0,0
1990,Annual,456,Area,0.016572,0.047727,0.006629,0.003314,1.403204,0,0,0,0,0,0
1990,Annual,463,Area,0.008603,0.024777,0.003441,0.001721,0.728447,0,0,0,0,0,0
1990,Annual,475,Area,0.011357,0.07,0.01,0.002271,1.9,0,0,0,0,0,0
1990,Annual,489,Area,0.016829,0.048468,0.006732,0.003366,1.424987,0,0,0,0,0,0
1990,Annual,496,Area,0.009062,0.020842,0.0029,0.001812,0.7027,0,0,0,0,0,0
1990,Annual,503,Area,0.000103,0.000205,0.00003,0.000021,0.00698,0,0,0,0,0,0
1990,Annual,505,Area,0.000412,0.000821,0.000121,0.000082,0.027911,0,0,0,0,0,0
1990,Annual,507,Area,0.000033,0.000066,0.00001,0.000007,0.002234,0,0,0,0,0,0
1990,Annual,510,Area,0.000004,0.000008,0.000001,0.000001,0.000278,0,0,0,0,0,0
1990,Annual,511,Area,0.011956,0.034432,0.004782,0.002391,1.012328,0,0,0,0,0,0
1990,Annual,520,Area,0.005269,0.012119,0.001686,0.001054,0.408592,0,0,0,0,0,0
1990,Annual,527,Area,0.011881,0.027326,0.003802,0.002376,0.921319,0,0,0,0,0,0
1990,Annual,534,Area,0.001259,0.01,0,0.000252,0.18,0,0,0,0,0,0
1990,Annual,541,Area,0.017875,0.041112,0.00572,0.003575,1.386134,0,0,0,0,0,0
1990,Annual,548,Area,0.018654,0.042903,0.005969,0.003731,1.446523,0,0,0,0,0,0
1990,Annual,555,Area,0.005745,0.1,0.01,0.001149,0.82,0,0,0,0,0,0
1990,Annual,562,Area,0.002896,0.005773,0.00085,0.000579,0.196261,0,0,0,0,0,0
1990,Annual,593,Area,0.000041,0.000082,0.000012,0.000008,0.002791,0,0,0,0,0,0
1990,Annual,597,Area,0.010362,0.023832,0.003316,0.002072,0.803516,0,0,0,0,0,0
1990,Annual,615,Area,0.005146,0.010258,0.00151,0.001029,0.34874,0,0,0,0,0,0
1990,Annual,619,Area,0,0,0,0,0,0,0,0,0,0,0
1990,Annual,626,Area,0.000237,0.000473,0.00007,0.000047,0.016093,0,0,0,0,0,0
1990,Annual,632,Area,0.000214,0.000428,0.000063,0.000043,0.014535,0,0,0,0,0,0
1990,Annual,639,Area,0.44,0.78,0.32,0.03,1.79,0,0,0,0,0,0
1990,Annual,646,Area,0.115475,0.651102,0.198815,0.014645,1.817811,0,0,0,0,0,0
1990,Annual,658,Area,1.8,5.68,3.89,0.31,7.78,0,0,0,0,0,0
1990,Annual,670,Area,0.000098,0,0,0.000136,0.01,0,0,0,0,0,0
1990,Annual,673,Area,0.000021,0,0,0.000048,0,0,0,0,0,0,0
1990,Annual,676,Area,0.000001,0,0,0.000001,0,0,0,0,0,0,0
1990,Annual,679,Area,0.000009,0.000049,0.000083,0,0.000131,0,0,0,0,0,0
1990,Annual,682,Area,0.01,0.04,0.02,0,0.09,0,0,0,0,0,0
1990,Annual,687,Area,0.012211,0.056787,0.028372,0.004335,0.112104,0,0,0,0,0,0
1990,Annual,694,Area,0.001647,0.008459,0.004206,0.000642,0.014731,0,0,0,0,0,0
1990,Annual,699,Area,0.00166,0.02,0,0.000861,0.02,0,0,0,0,0,0
1990,Annual,702,Area,0.000464,0.01,0,0.000213,0.01,0,0,0,0,0,0
1990,Annual,705,Area,0.000011,0,0,0.000006,0.01,0,0,0,0,0,0
