year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,10,Point,1.12,0.77,0.31,24.970001,0,0,0,0,0,0,0
1990,Annual,11,Point,0,7.53,0,0,0,0,0,0,0,0,0
1990,Annual,12,Point,0,0.35,0,0,0,0,0,0,0,0,0
1990,Annual,13,Point,0,0.99,0,0,0,0,0,0,0,0,0
1990,Annual,14,Point,0,0.01,0,0,0,0,0,0,0,0,0
1990,Annual,15,Point,0.09,15.309999,2.21,12.65,0.79,1900.409912,1.86,0,0,0,0
1990,Annual,16,Point,0.06,0.21,0.02,0.02,0.05,8071.299805,0,0,0,0,0
1990,Annual,17,Point,0,10.91,0,0,0,0,0,0,0,0,0
1990,Annual,18,Point,0,2.3,0,0,0,0,0,0,0,0,0
1990,Annual,19,Point,0,1.19,0,0,0,0,0,0,0,0,0
1990,Annual,21,Point,0.005718,0.020425,0.046945,0.86684,0.034328,0.266759,0,0,0,0,0
1990,Annual,22,Point,0.126672,0.000428,0,1.7518,0,0,0,0,0,0,0
1990,Annual,23,Point,0.047545,0.596663,0,0,0,0,0,0,0,0,0
1990,Annual,24,Point,0.001372,0.010369,0,0,0,0,0,0,0,0,0
1990,Annual,25,Point,0.001635,0.034543,0,0,0,0.013639,0,0,0,0,0
1990,Annual,26,Point,1.019349,0.546126,1.670397,4.547554,26.948914,0.013688,0,0,0,0,0
1990,Annual,28,Point,0.007222,0.596557,0,0,0,0.619333,0,0,0,0,0
1990,Annual,31,Point,0.000009,0.002424,0,0,0,0,0,0,0,0,0
1990,Annual,33,Point,1.173311,0.177874,0.01196,0.018665,0.13686,0.001885,0,0,0,143.231781,0
1990,Annual,34,Point,1.465095,0.105106,0.014713,0.000017,0,0,0,0,0,0,0
1990,Annual,35,Point,0.035768,0,0,0,0,0,0,0,0,0,0
1990,Annual,36,Point,0.706804,0.14454,0.340932,0.029898,0.44939,2276.696777,0,0,0,0,0
1990,Annual,38,Point,1.244665,0.047927,0.019623,0.002499,0.077324,0,0,0,0,0,0
1990,Annual,39,Point,0.948233,0,0,0,0,0,0,0,0,0,0
1990,Annual,40,Point,2.812666,0.060501,0.066543,0.411019,0.012201,0,0,0,0,0,0
1990,Annual,41,Point,5.634969,0.003189,0,0,0,0,0,0,0,0,0
1990,Annual,42,Point,0.127048,0,0,0,0,0,0,0,0,0,0
1990,Annual,43,Point,0.008288,1.135333,0,0,0,0,0,0,0.000474,0,0
1990,Annual,44,Point,0,0.067908,0,0,0,0,0,0,0,0,0
1990,Annual,45,Point,0,0.741509,0,0,0,0,0,0,0,0,0
1990,Annual,46,Point,0.000207,0.00174,0,0,0,0,0,0,0,0,0
1990,Annual,47,Point,0.037726,0.179522,0,0,0,0,0,0,0,0,0
1990,Annual,48,Point,0,0.003557,0.019911,0,0,0.017608,0,0,0,0,0
1990,Annual,49,Point,0,0.042,0,0,0,0,0.013158,0,0,0,0
1990,Annual,50,Point,0.001707,0.335604,0,0,0,0,0,0,0,0,0
